Name,Description,Group,DataSource,DataSource2,DataType,Address,Address2,Address3,InitialValue,Boolean_Invert,Integer_WordsCount,Analog_minRaw,Analog_maxRaw,Analog_minEng,Analog_maxEng,Analog_Engunit,Alm_Enable,Alm_Comment,Alm_Enable_LL,Alm_Enable_Lo,Alm_Enable_Hi,Alm_Enable_HH,Alm_Enable_OverRange,Alm_Enable_UnderRange,Alm_LL_lim,Alm_Lo_lim,Alm_Hi_lim,Alm_HH_lim,Alm_LL_Pri,Alm_Lo_Pri,Alm_Hi_Pri,Alm_HiHi_Pri,Alm_OverRange_Pri,Alm_UnderRange_Pri,Alm_LL_Delay,Alm_Lo_Delay,Alm_Hi_Delay,Alm_HH_Delay,Alm_OverRange_Delay,Alm_UnderRange_Delay,Alm_LL_DeaBand,Alm_Lo_DeaBand,Alm_Hi_DeaBand,Alm_HiHi_DeaBand,Alm_OverRange_DeaBand,Alm_UnderRange_DeaBand,Alm_AlarmOrEvent,Alm_Bool_WhileTrue,Alm_Bool_Delay,Alm_Bool_Count,Alm_Bool_Pri,Alm_Page,Alm_LL_Desc,Alm_Lo_Desc,Alm_Hi_Desc,Alm_HH_Desc,Alm_Bool_Desc,Alm_Collections,Log_Enable,Log_Model,Log_Model2,Integration_Enable,Integration_Model,Integration_Model2,AccessLevel,Class_Name,Object_Name,User_Def_1,User_Def_2,User_Def_3,User_Def_4,User_Def_5,User_Def_6,User_Def_7,User_Def_8,User_Def_9,User_Def_10,User_Def_11,User_Def_12,CopyTo
C000.ReportLearnedFlowValuesErrorStatus,,C000,C000,,Boolean,C_11ErrorStatus,,,,FALSE,1,0,100,0,100,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,TRUE,0,1,1,Home.edd,,,,,,,FALSE,,,FALSE,,,0,,,,,,,,,,,,,,,
C000.ReportLearnedFlowValues_Trigger,,C000,C000,,Boolean,C_11_Trigger,,,,FALSE,1,0,100,0,100,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,TRUE,0,1,1,Home.edd,,,,,,,FALSE,,,FALSE,,,0,,,,,,,,,,,,,,,
ACC1.SetControllerStartTimeOptions_StackMode_Command,,ACC1,ACC1,,Integer,C_17_StackMode_Command,,,,FALSE,1,0,100,0,100,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,TRUE,0,1,1,Home.edd,,,,,,,FALSE,,,FALSE,,,0,,,,,,,,,,,,,,,
ACC1.SetControllerStartTimeOptions_SsPrgThold_Command,,ACC1,ACC1,,Integer,C_17_SsPrgThold_Command,,,,FALSE,1,0,100,0,100,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,TRUE,0,1,1,Home.edd,,,,,,,FALSE,,,FALSE,,,0,,,,,,,,,,,,,,,
ACC1.SetControllerStartTimeOptions_SsgSsPrgThold_Command,,ACC1,ACC1,,Integer,C_17_SsgSsPrgThold_Command,,,,FALSE,1,0,100,0,100,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,TRUE,0,1,1,Home.edd,,,,,,,FALSE,,,FALSE,,,0,,,,,,,,,,,,,,,
ACC1.SetControllerStartTimeOptions_Trigger,,ACC1,ACC1,,Boolean,C_17_Trigger,,,,FALSE,1,0,100,0,100,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,TRUE,0,1,1,Home.edd,,,,,,,FALSE,,,FALSE,,,0,,,,,,,,,,,,,,,
ACC1.SetControllerStartTimeOptions_ErrorStatus,,ACC1,ACC1,,Boolean,C_17_ErrorStatus,,,,FALSE,1,0,100,0,100,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,TRUE,0,1,1,Home.edd,,,,,,,FALSE,,,FALSE,,,0,,,,,,,,,,,,,,,
ACC1.ReportControllerStartTimeOptions_StackMode_Status,,ACC1,ACC1,,Integer,C_37_StackMode_Status,,,,FALSE,1,0,100,0,100,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,TRUE,0,1,1,Home.edd,,,,,,,FALSE,,,FALSE,,,0,,,,,,,,,,,,,,,
ACC1.ReportControllerStartTimeOptions_SsPrgThold_Status,,ACC1,ACC1,,Integer,C_37_SsPrgThold_Status,,,,FALSE,1,0,100,0,100,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,TRUE,0,1,1,Home.edd,,,,,,,FALSE,,,FALSE,,,0,,,,,,,,,,,,,,,
ACC1.ReportControllerStartTimeOptions_SsgSsPrgThold_Status,,ACC1,ACC1,,Integer,C_37_SsgSsPrgThold_Status,,,,FALSE,1,0,100,0,100,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,TRUE,0,1,1,Home.edd,,,,,,,FALSE,,,FALSE,,,0,,,,,,,,,,,,,,,
ACC1.ReportControllerStartTimeOptions_Trigger,,ACC1,ACC1,,Boolean,C_37_Trigger,,,,FALSE,1,0,100,0,100,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,TRUE,0,1,1,Home.edd,,,,,,,FALSE,,,FALSE,,,0,,,,,,,,,,,,,,,
ACC1.ReportControllerStartTimeOptions_ErrorStatus,,ACC1,ACC1,,Boolean,C_37_ErrorStatus,,,,FALSE,1,0,100,0,100,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,TRUE,0,1,1,Home.edd,,,,,,,FALSE,,,FALSE,,,0,,,,,,,,,,,,,,,
